web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615856422-2237","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 20, 2020","1,389.58","1,406.72"
"1615856422-2305","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 12, 2020","1,514.48","1,518.27"
"1615856422-2271","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 01, 2020","1,122.00","1,105.62"
"1615856422-2238","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 19, 2020","1,387.00","1,373.48"
"1615856422-2235","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 22, 2020","1,396.71","1,410.42"
"1615856422-2090","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 17, 2020","1,768.51","1,747.90"
"1615856422-2097","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 08, 2020","1,810.10","1,818.55"
"1615856422-2329","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 08, 2020","1,392.08","1,404.32"
"1615856422-2095","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 10, 2020","1,769.80","1,775.33"
"1615856422-2105","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 25, 2020","1,772.89","1,771.43"
"1615856422-2242","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 13, 2020","1,377.05","1,349.33"
"1615856422-2173","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 20, 2020","1,543.45","1,581.75"
"1615856422-2196","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 20, 2020","1,515.26","1,565.72"
"1615856422-2213","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 24, 2020","1,461.51","1,431.97"
"1615856422-2263","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 14, 2020","1,245.09","1,269.23"
"1615856422-2165","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 01, 2020","1,636.63","1,660.71"
"1615856422-2207","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 02, 2020","1,446.94","1,464.70"
"1615856422-2112","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 16, 2020","1,771.70","1,781.38"
"1615856422-2252","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 29, 2020","1,341.46","1,341.48"
"1615856422-2249","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 04, 2020","1,308.23","1,326.80"
"1615856422-2136","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 13, 2020","1,583.73","1,571.68"
"1615856422-2139","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 08, 2020","1,465.09","1,485.93"
